Student ID,Age,Gender,Grade Level,Parental Education Level,Household Income,School Type,School Location,Average Exam Score,Attendance Rate,Internet Access at Home,Participation in Extracurricular Activities,Special Education Needs
S00001,6,Non-binary,Grade 6,PhD,100k-150k,Public,Urban,56.5,96.8,Yes,No,Yes
S00002,6,Male,Grade 3,PhD,<30k,Private,Urban,53.4,86.8,Yes,No,No
S00003,15,Non-binary,Grade 7,Master's,<30k,Public,Urban,93.1,99.6,Yes,No,Yes
S00004,10,Male,Grade 12,Bachelor's,100k-150k,Public,Rural,66.7,89.4,No,Yes,No
S00005,13,Male,Grade 12,PhD,>150k,Public,Urban,62,73.2,Yes,Yes,No
S00006,10,Female,Grade 3,PhD,<30k,Private,Rural,70.2,88.4,No,Yes,No
S00007,13,Female,Grade 1,High School,>150k,Public,Urban,73,91.5,No,No,No
S00008,6,Non-binary,Grade 8,PhD,<30k,Public,Urban,54.9,92.4,No,No,No
S00009,13,Non-binary,Grade 2,High School,<30k,Public,Rural,64.3,86.5,No,Yes,No
S00010,16,Non-binary,Grade 9,PhD,>150k,Public,Urban,88.5,76.8,No,No,No
S00011,17,Female,Grade 4,Bachelor's,>150k,Private,Urban,93,71.3,Yes,No,Yes
S00012,14,Male,Grade 3,Master's,>150k,Public,Rural,77.9,70.3,Yes,No,No
S00013,12,Male,Grade 4,High School,100k-150k,Private,Urban,80.4,91.2,No,No,Yes
S00014,7,Male,Grade 3,Bachelor's,60k-100k,Public,Rural,91.8,88.5,Yes,Yes,No
S00015,13,Non-binary,Grade 10,High School,30k-60k,Private,Rural,77,88.3,No,No,Yes
S00016,6,Non-binary,Grade 9,Master's,100k-150k,Private,Rural,78.7,84.3,Yes,No,Yes
S00017,10,Male,Grade 9,Bachelor's,60k-100k,Private,Urban,66.6,97.4,Yes,Yes,Yes
S00018,16,Female,Grade 5,Master's,>150k,Private,Rural,67.9,81.1,Yes,No,Yes
S00019,15,Female,Grade 8,PhD,30k-60k,Private,Rural,60.8,94.3,Yes,Yes,Yes
S00020,9,Non-binary,Grade 8,Bachelor's,30k-60k,Public,Urban,55.7,93.9,Yes,Yes,No
S00021,16,Non-binary,Grade 5,Bachelor's,100k-150k,Public,Rural,62.8,99.2,Yes,No,Yes
S00022,17,Non-binary,Grade 3,High School,60k-100k,Private,Urban,82.7,79,No,Yes,Yes
S00023,16,Male,Grade 3,Bachelor's,>150k,Public,Rural,96.2,80.8,No,Yes,No
S00024,8,Non-binary,Grade 9,High School,>150k,Private,Urban,81,78.4,Yes,Yes,Yes
S00025,7,Female,Grade 9,Master's,60k-100k,Private,Urban,57.9,86.4,No,Yes,No
S00026,9,Female,Grade 1,Bachelor's,<30k,Private,Rural,80.1,82.4,No,Yes,Yes
S00027,14,Male,Grade 11,PhD,100k-150k,Public,Rural,74.6,75.7,No,Yes,Yes
S00028,11,Male,Grade 6,Master's,<30k,Public,Urban,67.1,81.4,No,No,No
S00029,16,Non-binary,Grade 4,High School,<30k,Private,Rural,50.2,86.1,Yes,No,No
S00030,6,Non-binary,Grade 2,Bachelor's,30k-60k,Private,Rural,73.5,89.6,No,No,Yes
S00031,16,Male,Grade 6,PhD,>150k,Public,Urban,59.2,81.6,No,No,Yes
S00032,10,Female,Grade 6,Bachelor's,60k-100k,Public,Urban,80,92.2,No,No,No
S00033,6,Non-binary,Grade 7,PhD,30k-60k,Public,Urban,76.4,90.8,Yes,Yes,No
S00034,10,Male,Grade 10,PhD,<30k,Private,Rural,79,86,Yes,No,Yes
S00035,11,Non-binary,Grade 4,Bachelor's,100k-150k,Public,Urban,78.3,92.1,Yes,Yes,No
S00036,17,Male,Grade 2,Bachelor's,60k-100k,Private,Urban,95.5,95.9,No,Yes,No
S00037,11,Male,Grade 1,Bachelor's,30k-60k,Public,Urban,77.2,70.9,Yes,No,Yes
S00038,16,Male,Grade 9,Master's,60k-100k,Private,Rural,77.8,86.5,No,No,Yes
S00039,15,Non-binary,Grade 4,PhD,30k-60k,Private,Urban,72.9,74.2,Yes,Yes,Yes
S00040,13,Male,Grade 8,Bachelor's,100k-150k,Public,Urban,87.3,92.6,Yes,No,No
S00041,17,Female,Grade 9,High School,30k-60k,Public,Urban,70.8,97,No,No,Yes
S00042,13,Female,Grade 5,Bachelor's,>150k,Public,Urban,63.1,77.4,No,Yes,No
S00043,16,Male,Grade 11,Bachelor's,<30k,Public,Rural,76.8,80.2,No,Yes,No
S00044,6,Female,Grade 1,PhD,60k-100k,Private,Urban,90.6,85.3,Yes,No,No
S00045,14,Non-binary,Grade 1,Master's,>150k,Private,Urban,77.4,81.5,No,Yes,Yes
S00046,12,Male,Grade 8,Bachelor's,30k-60k,Private,Urban,73.2,74.8,Yes,No,Yes
S00047,12,Non-binary,Grade 10,PhD,30k-60k,Public,Urban,68.9,87.2,Yes,Yes,Yes
S00048,14,Non-binary,Grade 1,Master's,>150k,Public,Rural,56,93.7,No,No,No
S00049,17,Female,Grade 8,Master's,100k-150k,Private,Urban,95.4,78.1,No,Yes,No
S00050,16,Non-binary,Grade 8,High School,>150k,Public,Urban,99.2,82.5,No,No,Yes
S00051,14,Male,Grade 1,PhD,<30k,Private,Urban,68.1,96.6,No,No,No
S00052,13,Non-binary,Grade 3,PhD,30k-60k,Private,Urban,98.8,76.3,No,Yes,Yes
S00053,12,Non-binary,Grade 1,Master's,30k-60k,Private,Urban,51.3,73.8,Yes,No,No
S00054,17,Female,Grade 2,High School,<30k,Public,Urban,60.4,81.5,No,Yes,Yes
S00055,7,Male,Grade 10,High School,60k-100k,Public,Urban,97.1,75.3,No,No,No
S00056,17,Non-binary,Grade 8,High School,60k-100k,Private,Rural,61.6,83.9,No,Yes,No
S00057,12,Female,Grade 1,Master's,100k-150k,Private,Rural,72,86.2,No,No,No
S00058,17,Female,Grade 8,PhD,<30k,Public,Rural,68.1,73.8,No,Yes,Yes
S00059,13,Non-binary,Grade 9,Bachelor's,60k-100k,Private,Rural,67.8,79.3,Yes,No,No
S00060,10,Non-binary,Grade 3,High School,<30k,Private,Rural,73.9,93.7,No,Yes,Yes
